Motif_4_cliques,Motif_4_cliques_per_Cn4,Motif_4_cycles,Motif_4_cycles_per_Cn4,Motif_induced_connected_per_4set,Motif_square_clustering_proxy,Motif_triangle_edge_frac_ge2,Motif_triangle_edge_frac_zero,Motif_triangle_edge_incidence_mean,Motif_triangle_edge_incidence_median,Motif_triangle_edge_incidence_q90,Motif_triangle_edge_incidence_std,Motif_triangles,Motif_triangles_per_Cn3,Motif_wedges,Motif_wedges_per_max,Spectral_lap_eig_0,Spectral_lap_eig_1,Spectral_lap_eig_2,Spectral_lap_eig_3,Spectral_lap_eig_4,Spectral_lap_eig_5,Spectral_lap_eig_6,Spectral_lap_eig_7,Spectral_lap_eig_8,Spectral_lap_eig_9,Motif_5_cliques,Motif_5_cliques_per_Cn5,Motif_5_cycles,Motif_5_cycles_per_Cn5,Motif_5_cycles_per_Kn,Motif_induced5_g_0_5,Motif_induced5_g_0_5_per_Cn5,Motif_induced5_g_10_5,Motif_induced5_g_10_5_per_Cn5,Motif_induced5_g_11_5,Motif_induced5_g_11_5_per_Cn5,Motif_induced5_g_12_5,Motif_induced5_g_12_5_per_Cn5,Motif_induced5_g_13_5,Motif_induced5_g_13_5_per_Cn5,Motif_induced5_g_14_5,Motif_induced5_g_14_5_per_Cn5,Motif_induced5_g_15_5,Motif_induced5_g_15_5_per_Cn5,Motif_induced5_g_16_5,Motif_induced5_g_16_5_per_Cn5,Motif_induced5_g_17_5,Motif_induced5_g_17_5_per_Cn5,Motif_induced5_g_18_5,Motif_induced5_g_18_5_per_Cn5,Motif_induced5_g_1_5,Motif_induced5_g_1_5_per_Cn5,Motif_induced5_g_20_5,Motif_induced5_g_20_5_per_Cn5,Motif_induced5_g_2_5,Motif_induced5_g_2_5_per_Cn5,Motif_induced5_g_3_5,Motif_induced5_g_3_5_per_Cn5,Motif_induced5_g_4_5,Motif_induced5_g_4_5_per_Cn5,Motif_induced5_g_5_5,Motif_induced5_g_5_5_per_Cn5,Motif_induced5_g_6_5,Motif_induced5_g_6_5_per_Cn5,Motif_induced5_g_7_5,Motif_induced5_g_7_5_per_Cn5,Motif_induced5_g_8_5,Motif_induced5_g_8_5_per_Cn5,Motif_induced5_g_9_5,Motif_induced5_g_9_5_per_Cn5,Motif_induced_connected_per_5set,Motif_induced_g_1_4,Motif_induced_g_1_4_per_Cn4,Motif_induced_g_2_4,Motif_induced_g_2_4_per_Cn4,Motif_induced_g_3_4,Motif_induced_g_3_4_per_Cn4,Motif_induced_g_4_4,Motif_induced_g_4_4_per_Cn4,Motif_induced_g_5_4,Motif_induced_g_5_4_per_Cn4,Motif_induced_g_6_4,Motif_induced_g_6_4_per_Cn4,Centrality_betweenness_max,Centrality_betweenness_mean,Centrality_betweenness_skew,Centrality_betweenness_std,Centrality_closeness_max,Centrality_closeness_max_norm,Centrality_closeness_mean,Centrality_closeness_mean_norm,Centrality_closeness_skew,Centrality_closeness_std,Centrality_eigenvector_max,Centrality_eigenvector_mean,Centrality_eigenvector_skew,Centrality_eigenvector_std,sample_index
0.0,0.0,0.036579482,0.013083991,0.027716836,0.0,0.00674926,0.02505675,0.0011695088,-0.0011033334,0.0,0.020760156,0.0,0.004904615,0.011200689,0.0015906552,0.06681176,0.54629105,-0.34655067,0.036290195,0.0145506915,0.124843106,0.177896,0.027122242,-0.013396214,0.0064637726,0.0,0.0,0.0002267221,0.00044680238,0.00010714213,0.0,0.0,0.004655214,0.0045889914,-0.0042797965,-0.0016073802,0.0,0.0,0.0,0.0,0.0,0.0,0.034888867,0.005834771,0.0010610002,0.0,0.0,0.0,0.0061655394,0.0013641691,0.0651651,0.025211023,0.0,0.0,0.037890904,0.008241856,-0.0051893964,-0.0014789785,-0.0061169923,-0.0012065764,-5.5399243e-05,0.004218917,0.0070511657,0.0032947673,0.0012121149,0.00019986558,0.020460127,0.0062371334,-0.000107375614,0.0055417614,-0.0065559535,-0.19456197,-0.077658296,0.0049861963,-0.012242817,-0.019955063,-0.0027958904,0.13379808,0.05481654,-0.0004616358,-0.00024691157,0.0,0.0,0.04997943,0.035334256,0.013104558,0.023926882,0.0,0.0,0.109854914,0.045100544,0.0684272,-0.005566698,-0.042993993,-0.020629132,0.028671335,-0.020185653,0
0.0,0.0,0.056528363,0.012442745,-0.0075799897,0.0,-0.0031093399,0.032395974,7.2671355e-05,-0.0017473076,0.0,0.021825086,0.0,-0.0007376187,-0.003188573,-0.00056069775,0.070533656,0.56631726,-0.045483556,0.04034282,0.02391618,0.14514135,0.08197604,0.037809715,-0.028239964,0.012228765,0.0,0.0,0.004398711,0.00090650574,6.1231716e-05,0.0,0.0,0.005784194,0.004013344,-0.005043721,-0.0011322888,0.0,0.0,0.0,0.0,0.0,0.0,0.04807806,0.008077116,0.0010610002,0.0,0.0,0.0,0.0075201397,0.0013641691,-0.010209885,-0.0058541964,0.0,0.0,0.036058523,0.011414261,-0.00694409,-0.0019556636,0.015597091,0.005776729,0.021745358,0.008401033,0.008986404,0.002680773,-0.00016560026,-0.00049902534,0.018059343,0.0045324923,0.0127319135,0.012851208,0.028526982,-0.21316239,-0.084735386,0.008730586,-0.019046174,-0.016738536,-0.0023068907,-0.004794655,-0.009894278,-0.0007648795,-0.00024691157,0.0,0.0,0.07037233,0.0033531196,-0.019289294,-0.027630342,0.0,0.0,0.07805532,0.020501118,0.09325946,-0.008748684,0.002908951,-0.0439792,0.073338576,-0.027221909,1
0.0,0.0,0.0632283,0.012392401,0.04203036,0.0,0.0059521063,0.033073187,0.0008903233,-0.0011033334,0.0,0.019541916,0.0,0.0015499904,0.010761938,0.0019044625,0.037313286,0.6040019,0.07411743,-0.028444508,-0.006323324,0.1423292,0.1715626,0.04447241,-0.00956706,-0.0076549808,0.0,0.0,0.0018920351,0.0006421943,6.1231716e-05,0.0,0.0,-0.011152351,-0.007974495,-0.005237547,-0.0026718995,0.0,0.0,0.0,0.0,0.0,0.0,0.04422976,0.009959675,0.0010610002,0.0,0.0,0.0,0.005585648,0.0016471376,-0.007925069,-0.005170693,0.0,0.0,-0.07570628,-0.019576833,-0.0053273924,-0.0018408097,0.012049628,0.0022570873,0.0008773857,0.0048549706,0.008335674,0.0038588946,0.001150099,8.151267e-05,0.020488232,0.006423966,-0.0066423956,0.0018294582,0.0049657156,-0.20209758,-0.08459818,0.00038704698,0.01195678,0.013131433,0.0039718556,0.15175913,0.07891674,-0.000536711,-0.00021930225,0.0,0.0,-0.01631685,0.050996676,0.0137754595,-0.0062873885,0.0,0.0,0.15782084,0.066775754,-0.030625913,0.00844929,0.18422273,-0.044754587,-0.0057932874,-0.0075770454,2
0.0,0.0,0.056288138,0.011227256,0.021474909,0.0,-0.0047027115,0.031675547,-0.00013710896,-0.0011033334,0.0,0.021294167,0.0,-0.00017796244,-0.0024651377,-0.0010372153,0.052517418,0.550333,0.080782294,-0.05809295,-0.0092111295,-0.17787823,0.19998579,0.047755484,-0.009784396,0.009647653,0.0,0.0,0.0022931234,0.00068083656,0.00010714213,0.0,0.0,0.007620157,0.0046641403,-0.006937887,-0.0032664277,0.0,0.0,0.0,0.0,0.0,0.0,0.038069535,0.007954715,0.0010610002,0.0,0.0,0.0,0.007946757,0.001292654,0.08483238,0.03237237,0.0,0.0,0.027379647,0.011083251,-0.0065843062,-0.00289374,-0.016149584,-0.0016007713,0.032115113,0.007799636,0.00034826936,-0.00021566596,0.0008657702,8.6460816e-05,-0.09344526,-0.031852037,0.0045475764,0.0048879352,-0.0057562655,-0.24879248,-0.102561206,0.0015953027,0.0053403946,0.014962448,0.0029070238,0.1435022,0.059615515,-0.0007910388,-0.00023655497,0.0,0.0,-0.06041852,0.00790115,0.0119228205,0.019292995,0.0,0.0,0.1334205,0.060915172,0.039338812,0.010096516,-0.028247455,-0.0028511893,-0.013717651,0.0052557364,3
0.0,0.0,0.063333906,0.014676383,0.032410752,0.0,-0.0027155052,0.039043743,2.714793e-05,-0.0011033334,0.0,0.024663575,0.0,-0.00017796244,-0.0031901805,-0.0010362575,0.026616132,0.69321114,0.20548978,-0.0069538113,-0.009658228,0.15466599,0.18953605,0.04522967,-0.018383212,-0.010268977,0.0,0.0,0.000108879525,0.0033141572,0.00010714213,0.0,0.0,-0.018963594,-0.009925149,0.0021263186,-0.000650063,0.0,0.0,0.0,0.0,0.0,0.0,-0.01711745,-0.003827656,0.0010610002,0.0,0.0,0.0,0.008236187,0.001686731,0.00033193704,-0.0059356005,0.0,0.0,0.020737715,0.009242737,-0.0054354183,-0.0028873135,0.0026862754,0.00076982344,0.0331632,0.007951203,0.009255872,0.0026090206,-0.00074011536,-0.00049346953,0.015259008,0.0067798886,0.010633143,0.009089245,0.028331727,-0.22908956,-0.0936967,0.0034063298,0.007900681,-0.027981848,-0.008745313,0.12887567,0.06420458,-0.0008152321,-0.00021930225,0.0,0.0,-0.066576995,0.050473105,0.010598337,0.015060567,0.0,0.0,0.16085212,0.06339697,0.026366176,0.0070732017,-0.057182636,-0.050490007,-0.015711559,-0.010980756,4
0.0,0.0,-0.06247041,-0.023099128,-0.0029217585,0.0,0.009297165,0.043791827,0.00038283813,0.004101012,0.0,0.02982284,0.0,-6.534556e-05,-0.0047324635,-0.0012046259,-0.024483066,0.32175884,0.24107154,0.030191964,-0.018975556,-0.23525135,-0.0907169,0.007055749,-0.01931283,-0.014357173,0.0,0.0,-0.0027790044,-0.0013771383,0.0005615588,0.0,0.0,0.0047197873,0.0037863532,0.0021815957,-0.0024420887,0.0,0.0,0.0,0.0,0.0,0.0,0.050312586,0.013487344,0.0005108061,0.0,0.0,0.0,0.0118162725,0.0035189001,-0.012120282,-0.016241752,0.0,0.0,0.056230493,0.016370125,-0.009917827,-0.004183332,0.0069776624,0.0050997403,-0.005152429,0.0013404165,-0.0026421212,-0.0029110215,-0.0012676362,-0.002120562,0.0043454985,0.004588629,-0.0011320757,-0.0022192611,0.00072338205,0.12624961,0.049099404,-0.00018513412,-0.00587155,-0.031828362,-0.010542375,-0.03608245,-0.01845651,0.005170192,-0.0005459403,0.0,0.0,-0.017205978,-0.016446242,0.010290512,0.0021379231,0.0,0.0,-0.1110614,-0.0569132,-0.059660155,-0.010886594,-0.14314471,-0.07779432,-0.08947426,-0.04575131,5
0.0,0.0,0.060544282,0.014223208,0.031895973,0.0,-0.002787305,0.03283043,-0.0002378776,-0.0011033334,0.0,0.019219942,0.0,-0.00022696228,0.010786401,0.0014886687,0.059185293,0.6013304,0.20649579,-0.026720783,-0.0026639618,0.13756594,0.11574404,0.052016065,-0.015124996,0.012068312,0.0,0.0,0.0007332688,0.0011118,0.00010714213,0.0,0.0,-0.010930436,-0.010812545,-0.004862887,-0.003120533,0.0,0.0,0.0,0.0,0.0,0.0,-0.014573288,0.0006600927,0.0010610002,0.0,0.0,0.0,0.005773811,0.001575006,-9.661639e-05,-0.0045081764,0.0,0.0,-0.05804071,-0.02012981,-0.0044184905,-0.0018187616,-0.009296574,0.00032376286,-0.023924755,0.002290296,0.008544992,0.0038588946,0.0002400949,0.0021940025,0.021547323,0.00680243,-0.007997337,-0.0003790807,0.0049909647,-0.21452469,-0.09287313,0.00020141274,0.010390029,0.015846802,0.0038777841,0.11878686,0.06472939,-0.00041296455,-0.00021930225,0.0,0.0,-0.018301995,0.047263566,0.00995585,-0.012585712,0.0,0.0,0.15458818,0.06915562,-0.035883795,0.0071144113,0.19459589,-0.022270503,0.07752726,0.003167704,6
0.0,0.0,-0.13139166,-0.031763338,-0.010447113,0.0,-0.0049560717,0.034117017,4.996066e-05,-0.002680792,0.0,0.021654079,0.0,-0.00015259546,-0.0040271417,-0.0015941141,0.04814009,0.38047335,0.17660138,0.0014180641,-0.0135030495,-0.2878378,0.073645115,0.00036270195,-0.047502298,-0.006788916,0.0,0.0,-0.0012857078,-0.0013771383,9.006475e-05,0.0,0.0,-0.018166402,-0.012763199,0.005325336,-0.00041200803,0.0,0.0,0.0,0.0,0.0,0.0,-0.026935427,-0.0018488078,0.00032123667,0.0,0.0,0.0,0.006199336,0.0013641691,-0.053143293,-0.016894404,0.0,0.0,0.03927101,0.010714841,0.035777453,0.011107644,0.01317254,0.0045522163,-0.021449834,-0.0032540313,0.008950133,0.0007593305,0.0005453259,-0.00036975698,0.020219661,0.0060626753,0.0071363775,-0.0042740228,-0.016273512,-0.27557218,-0.11343876,0.0035815132,0.008425179,-0.03243308,-0.010161759,-0.008684345,-0.017713465,-0.0020363384,-0.00023655497,0.0,0.0,-0.08709097,-0.00076120964,-0.0022324158,0.008155239,0.0,0.0,0.081032336,0.02405941,0.018280655,0.0036047136,-0.10715051,-0.063679546,-0.08883758,-0.02209975,7
0.0,0.0,0.06045389,0.012853067,0.04563813,0.0,0.0064196116,0.035376623,0.0010253659,-0.0011033334,0.0,0.020994129,0.0,0.0046112193,0.012615707,0.0019044625,0.016260145,0.6400994,-0.03155357,-0.03477982,0.006884689,0.14603254,0.15124193,0.059362147,-0.010798922,-0.015391533,0.0,0.0,0.0010909456,0.0006421943,8.687584e-05,0.0,0.0,0.0052189594,0.0026914394,-0.003766614,-0.0008268019,0.0,0.0,0.0,0.0,0.0,0.0,0.05173186,0.012602026,-0.0045948983,0.0,0.0,0.0,0.0071761333,0.0024194592,-0.008090212,-0.0057970355,0.0,0.0,-0.100592606,-0.030943576,-0.005861285,-0.0020668162,0.010264153,0.0024252573,-0.013274804,-0.00011819433,5.289272e-05,-0.0005025029,0.00091274385,8.151267e-05,-0.09958201,-0.032124795,0.008679743,0.0072675226,-0.013485735,0.08513474,0.038006827,0.0017244993,0.008335909,0.020566957,0.006486179,0.16047549,0.06780328,-0.000536711,-0.00021930225,0.0,0.0,-0.008732357,0.050928988,0.009987647,-0.00846822,0.0,0.0,0.16665725,0.066402316,-0.043358862,0.009897424,0.17960876,-0.011499102,-0.030726431,0.0018081698,8
0.0,0.0,0.059428897,0.015015127,0.030978955,0.0,-0.003529728,0.037100233,7.2671355e-05,-0.0011033334,0.0,0.023129372,0.0,-0.00017796244,0.014215813,0.0018436017,0.06826762,0.6869539,0.24561323,0.04620213,0.010132652,0.16648845,-0.05852072,0.055973258,-0.019555682,-0.014540096,0.0,0.0,0.0035524603,0.0014785791,0.00010714213,0.0,0.0,0.006057766,0.004688629,0.003432302,9.897456e-06,0.0,0.0,0.0,0.0,0.0,0.0,-0.017312098,0.0004125931,0.000842028,0.0,0.0,0.0,-0.027780743,-0.004590234,-0.0023823027,-0.0063957577,0.0,0.0,0.020194968,0.0102523165,-0.006730236,-0.0019207781,-0.014620286,-0.0018117959,0.03714137,0.008600223,0.007905176,0.004543984,0.0010890882,8.151267e-05,0.0147794625,0.0070734615,0.0072249137,0.0022954235,-0.002771094,-0.2387672,-0.10799285,0.0016954337,0.00621125,0.015493066,0.0025270693,0.16798879,0.07615918,-0.0008152321,-0.00023655497,0.0,0.0,-0.059088115,0.055342592,0.016420897,-0.021458672,0.0,0.0,0.16502777,0.0657349,-0.07162896,-0.0022653188,-0.065869324,-0.009165678,-0.025237283,0.004317843,9
