experiment_type,train_loops,test_loops,n_train,n_test,train_auc,test_auc,train_auc_std,test_auc_std,best_params
intra-loop,6,6,36,36,0.9800297619047619,0.9333333333333333,0.00823517874330853,0.05868938953886334,"{""subsample"": 0.85, ""reg_lambda"": 2.0, ""reg_alpha"": 0.1, ""n_estimators"": 800, ""min_child_weight"": 1, ""max_depth"": 4, ""learning_rate"": 0.2, ""colsample_bytree"": 1.0}"
intra-loop,7,7,220,220,0.9131593707860454,0.7441165092217725,0.0425939515241221,0.05365240658508435,"{""subsample"": 1.0, ""reg_lambda"": 1.0, ""reg_alpha"": 0.1, ""n_estimators"": 400, ""min_child_weight"": 2, ""max_depth"": 8, ""learning_rate"": 0.01, ""colsample_bytree"": 1.0}"
intra-loop,8,8,2709,2709,0.8641503739166885,0.815279916791358,0.014742868523021969,0.020095808866217334,"{""subsample"": 0.7, ""reg_lambda"": 0.5, ""reg_alpha"": 0.1, ""n_estimators"": 400, ""min_child_weight"": 2, ""max_depth"": 8, ""learning_rate"": 0.01, ""colsample_bytree"": 1.0}"
intra-loop,9,9,43017,43017,0.822136042127817,0.7988515099578646,0.003920389567390168,0.005248986806380176,"{""subsample"": 0.85, ""reg_lambda"": 0.5, ""reg_alpha"": 0.1, ""n_estimators"": 800, ""min_child_weight"": 1, ""max_depth"": 6, ""learning_rate"": 0.02, ""colsample_bytree"": 1.0}"
mixed,6,7,36,220,0.9769230769230769,0.7512911692490052,,,"{""subsample"": 0.85, ""reg_lambda"": 2.0, ""reg_alpha"": 0.001, ""n_estimators"": 400, ""min_child_weight"": 1, ""max_depth"": 4, ""learning_rate"": 0.01, ""colsample_bytree"": 0.85}"
mixed,7,8,220,2709,0.9398442130217595,0.7752182569195739,,,"{""subsample"": 1.0, ""reg_lambda"": 1.0, ""reg_alpha"": 0.01, ""n_estimators"": 400, ""min_child_weight"": 2, ""max_depth"": 6, ""learning_rate"": 0.02, ""colsample_bytree"": 0.85}"
mixed,8,9,2709,43017,0.8811423733080083,0.7610146096989195,,,"{""subsample"": 0.85, ""reg_lambda"": 2.0, ""reg_alpha"": 0.1, ""n_estimators"": 800, ""min_child_weight"": 1, ""max_depth"": 3, ""learning_rate"": 0.05, ""colsample_bytree"": 0.7}"
mixed,6,8,36,2709,0.9769230769230769,0.6821710127349909,,,"{""subsample"": 0.85, ""reg_lambda"": 2.0, ""reg_alpha"": 0.001, ""n_estimators"": 400, ""min_child_weight"": 1, ""max_depth"": 4, ""learning_rate"": 0.01, ""colsample_bytree"": 0.85}"
mixed,6,9,36,43017,0.9769230769230769,0.6600486127336149,,,"{""subsample"": 0.85, ""reg_lambda"": 2.0, ""reg_alpha"": 0.001, ""n_estimators"": 400, ""min_child_weight"": 1, ""max_depth"": 4, ""learning_rate"": 0.01, ""colsample_bytree"": 0.85}"
mixed,7,9,220,43017,0.9398442130217595,0.7273380372380353,,,"{""subsample"": 1.0, ""reg_lambda"": 1.0, ""reg_alpha"": 0.01, ""n_estimators"": 400, ""min_child_weight"": 2, ""max_depth"": 6, ""learning_rate"": 0.02, ""colsample_bytree"": 0.85}"
mixed_cv,"6,7","6,7",256,256,0.9449570450985048,0.798568868407578,0.020017945812589068,0.05256335267289557,"{""subsample"": 1.0, ""reg_lambda"": 0.5, ""reg_alpha"": 0.01, ""n_estimators"": 400, ""min_child_weight"": 2, ""max_depth"": 3, ""learning_rate"": 0.02, ""colsample_bytree"": 1.0}"
mixed_cv,"7,8","7,8",2929,2929,0.8839026332977573,0.8317810948712647,0.017238882400801726,0.021983377954494576,"{""subsample"": 0.85, ""reg_lambda"": 2.0, ""reg_alpha"": 0.1, ""n_estimators"": 800, ""min_child_weight"": 1, ""max_depth"": 3, ""learning_rate"": 0.05, ""colsample_bytree"": 0.7}"
mixed_cv,"8,9","8,9",45726,45726,0.8317346455536431,0.8062686972468278,0.0032694137226567666,0.003993139916031065,"{""subsample"": 0.85, ""reg_lambda"": 0.5, ""reg_alpha"": 0.1, ""n_estimators"": 800, ""min_child_weight"": 1, ""max_depth"": 6, ""learning_rate"": 0.02, ""colsample_bytree"": 1.0}"
chained,"5,6",7,43,220,1.0,0.7591228515790365,,,"{""subsample"": 0.85, ""reg_lambda"": 2.0, ""reg_alpha"": 0.1, ""n_estimators"": 800, ""min_child_weight"": 1, ""max_depth"": 3, ""learning_rate"": 0.05, ""colsample_bytree"": 0.7}"
chained,"5,6,7",8,263,2709,0.9718446601941747,0.7619400551506343,,,"{""subsample"": 0.85, ""reg_lambda"": 2.0, ""reg_alpha"": 0.1, ""n_estimators"": 800, ""min_child_weight"": 1, ""max_depth"": 3, ""learning_rate"": 0.05, ""colsample_bytree"": 0.7}"
chained,"5,6,7,8",9,2972,43017,0.8859984373830376,0.7636371986175731,,,"{""subsample"": 0.85, ""reg_lambda"": 2.0, ""reg_alpha"": 0.1, ""n_estimators"": 800, ""min_child_weight"": 1, ""max_depth"": 3, ""learning_rate"": 0.05, ""colsample_bytree"": 0.7}"
