,COEFFICIENTS,ENCODINGS
0,1,L?NXdwL_cAlIe]
1,1,LcPOR{CgSKqRBn
2,1,LOY`I?^Wx@uHXS
3,1,LATGV[daIiaRBj
4,1,LBEGVtBoagAeTN
5,1,LCR_M@nocgtePl
6,1,LOqEJ?oF}I`McZ
7,0,LJGXAUOHG}B_en
8,1,LDgO[WWF{IGVDr
9,1,LgHDAIWJ|DeGUt
10,1,LRCgQOGVA|EeeR
11,0,Lp_HPIASEQkq`^
12,1,LDKoaOgRA}deaR
13,1,Le@WASWTsKFAkv
14,1,L?fQSakHC^dPk@
15,1,L`S?qckJ?~U`gQ
16,1,LcPGQEnoQKpT@^
17,1,LGqAZBGPxn@c_N
18,1,L?lQg`[Q?~UbAI
19,1,L?uWEHkHgnBccJ
20,1,LGqaIHGT|LPCcZ
21,1,L_h@ahST@mtQDK
22,1,LWoQEAh@yfcSCz
23,1,LH`G\aGB@neIdo
24,1,LCX_U?~oeDUh`U
25,1,L@qqA`HByFcCEn
26,1,LH`G\_WBDNeIdo
27,1,LeOF@_kPHITRBz
28,1,LT_OkCgFyJQaUZ
29,1,LJGcccOhG}B_Un
30,1,L`W?[eKF?|nCQc
31,1,LHE_qDGFul_rZB
32,1,LoaECC[TB]`sTx
33,1,LHceAEKEBg[TLx
34,0,L`oa_Au`PTKaI^
35,0,LFOGrSOeOQSHY}
36,1,Lh_oAIGBh`u`lx
37,0,Lx?R?GoSiUHUD^
38,0,LkGK`K_gKBSgRv
39,1,L_wHHWGTHWZQkR
40,1,LoaHCAqXIWg}KL
41,1,LTGsH@?KIgg]fB
42,1,LacHHJ?wDdIYAN
43,0,L{?oG_QGIHaivL
44,0,LwGcCO_Y[Ohkyb
45,1,LoWOWQ_esQHXwR
46,1,Lu?q@A@@ccSHY}
47,0,Lw_gACUGAXb`fL
48,1,Lb@Ab`OeAo}fHL
49,0,LCsJDOgXG_x]KL
50,1,LgWIPE_SoPWhyR
51,0,LDSGtSGdO`W^KR
52,0,L`gEHaH`CwkEIv
53,1,LacHHJ?wK`iYAN
54,1,LwGSCg_IJGWnJB
55,0,LXOLP?goIUQoQ}
56,0,L_qaCG]DBQtNEh
57,1,L`o`_Cv@HXJ@I^
58,1,Lp_Q_KGYaoxLU]
59,0,Lcg_oBIqHgW{`m
60,1,LwO_oO_sqOhXyR
61,1,Lcoo`C_PIgxXh]
62,0,LogP_`OpggWw\u
63,0,Ls_o`@?PIgx\d]
64,0,LwOOpCOCqPiXyb
65,1,Lb_c_QKJ@xDTd]
66,1,LPI_q@Ke@~dPlB
67,0,LhAAKsIQoU?mY}
68,1,LL@_[AsBsMcJUx
69,0,Lb_M@_[D@deUJj
70,1,LCUqAOhH@}dEeZ
71,1,Lp@DAGkqG~@cIv
72,0,L`I?Uc[T@^dPl?
73,1,L`caAgIMCo}FIr
74,1,LPodODDBQPiTEN
75,0,LDQcJOGJOtefIR
76,1,L_T?ZCXBlhp[tg
77,1,LOTeAOKFA}DMe]
78,1,LGTbPGH@csXavs
79,1,LgoCa`saGgW}Hm
80,1,LgPaAKKQ_o~BYu
81,0,LCkcbASaGgW}Hm
82,0,L@UcS`KdGWW^MQ
83,1,L@MKbHK`GQXNEd
84,1,L_eASSlHcQHH]S
85,0,L_LaAKKq_o~CYu
86,1,LKPcQGWdCpnVAb
87,0,LBKSaggRGpGni`
88,0,LAiIgWkbCPGg}o
89,1,LDI`I@kR?}ptRg
90,1,LAhIcQkM@_mYto
91,0,LgHCSap`gcUKD}
92,0,LcHCSgie@OuljW
93,0,LAhIbCpE`OirjW
94,1,LBI_Y@[TKZeSsr
95,1,L_[AWS\E@|PU\B
96,1,L@dcQWMIcaELa}
97,1,Lp_BGJDDQRWDiN
98,1,LBacaO[TBSTtDx
99,0,LgcECMKEBg[LLx
100,0,L`oJ?Ev@@XHDI^
101,1,LgPHPU?oJCpwBl
102,1,LBoeCGsFAzCDX]
103,1,L?{WREG`oWXuEd
104,1,LQQpCCOhFWo}KJ
105,1,Lgo`CTCoDT`wBr
106,0,LPIBaG[T``sNDp
107,1,L`o@oIu`IWiaA^
108,1,LBocaO[FBSV`hl
109,1,LAwccWTB@{CI]m
110,1,Lh_B`CoKqYHCbn
111,1,L`oAoEv@HXK@I^
112,0,L`ga_cQUGozaUj
113,0,L@qaEHMDaUbDgN
114,1,LX_BWaJ@CwkEIv
115,1,LDDpCRCoKBKo`}
116,1,LoQH`DAgL@ixAZ
117,1,L_w_dCGdowjRIb
118,0,LXCXOU?KIeQgbj
119,1,L?{agWKbHWZAkR
120,1,L@sWQUH`Aq\_Ut
121,1,L?]TAiH`Co~BGd
122,0,L@wRCiaEDO{ahZ
123,1,LBQPWhOLA}cRFJ
124,1,L@ecaPKL@}ERBl
125,0,LWaaWGaEKo~Chj
126,1,Lh_B`gGDOpyFIr
127,1,LPaCqGsR@~DC`m
128,1,LpAASIIMLO}F@r
129,1,Lp_BGFDDQRWciN
130,1,L?yPFGh@bP]ckr
131,1,LhCBGSoLEo~CiJ
132,0,LCXeAIGmAo}f@T
133,1,LKoJCBiEG_x]KJ
134,1,L?{PabGboWXtGd
135,0,LSQBWKQeCo~@Hj
136,1,LSSBSIQMDPmUP]
137,0,LacAgkPYGsiO[z
138,1,L`WBGRKd@pXtXT
139,0,L_Y@QQsdPWp\UW
140,0,LoEOcAiaYTUK@}
141,1,LgWCpEOSqOXhqb
142,0,LUGoo@O[_om\Qb
143,1,LHobAGgY`p]AU]
144,1,LOwKaAkiGgW}@u
145,0,L`S?wDqhsQGWwd
146,1,Lgg`_BKaHgx[D]
147,1,LoWGc@rHcQKhwd
148,1,LiAgH?gBJHRVHB
149,0,LOwca@KqHgW}Am
150,1,LogGK@kqGiW}HM
151,1,L`W@TIGTgsgYkb
152,1,LKWao@odcYGXwd
153,1,LWKs_Ac@QUH[st
154,1,L_eAScjHDRKG]S
155,0,LXCwC_aG?tRa|B
156,0,LcQaO_id?rTbIB
157,1,LARHJGoMBP]tRw
158,1,L_bAEWtDBQo]}g
159,0,L_U@KW[LDQ\Jbg
160,1,LgD_aBKEcbSywM
161,0,L`E@KP[TPWWNlW
162,1,LB`GsIgm_oWhlo
163,1,LBggJ?pIaPHSvE
164,1,L_UPCdGiKWx[D]
165,0,LHH_iBIIdaSXwM
166,1,LsG`B?QIQPpkvE
167,0,LWKFA_qHQ`HSvE
168,1,LEP`L?qIQPPkra
169,1,LBo@joLAAcIOQ}
170,0,LGYbH?oEKxkGRg
171,0,LT@OZAGP_p]Tc{
172,1,LEQ`J?qIQPPkra
173,1,LOUPX?oILYXXPG
174,0,L_U?[S\DDQ\IPo
175,1,LN?aIOpHa_OLz]
176,0,LgDAhBGP`p]U_]
177,0,LoDGJAGX_p]uc[
178,1,LOi_k?sRGxiitg
179,1,L_hAR@oULYWXUo
180,1,L_hASPpRLQoXTo
181,1,Lw@gCCQHQ`hsva
182,1,LSIOY@ohKiW}Re
183,1,LHICweHBDVPksr
184,1,LaBCIb`iRGpU|B
185,1,LQaEgC[LD[PsTx
186,0,LXCFAEcEBg[S\x
187,0,LFOGtCsa?iKHX}
188,0,L`gApcJ@HQ]@Iv
189,0,Lh_QAM_Bh`qHlx
190,0,Looa_HCdIXYREN
191,1,LROBIQSFA|EAU]
192,0,LP`AwC[U``lKeh
193,1,L`oBP`HDAqyecR
194,1,LaSCdH_LI{TafJ
195,1,LIocQWGqB{Aie]
196,1,LQoEKEKFBYTaRl
197,1,LQWFABTB@}AJQu
198,1,Loga_@QUXO}aUZ
199,1,Loob??tBQRkUKN
200,0,LOwRCDaESo}PHj
201,0,L_wB`gGbPP}?kr
202,1,LOMEg@]`c[Co|l
203,0,LWaQWIPCgsj@jj
204,0,L`oR?TSHPPYeEN
205,0,LEaQWMPc_oj@jj
206,0,LPoXGLCDAXYUEN
207,0,LwOp?B?BjCrihF
208,0,LeGp@@_c[BUGRv
209,1,LQWBcPLBPO[fIb
210,0,L?{aQIUaKcgXIj
211,1,LWcL`@OgLBIx@\
212,0,LsGT?``oHBUGRv
213,1,LAwIhSGbPOjQkR
214,1,LOkAsaM`GSqXHt
