,COEFFICIENTS,ENCODINGS
0,1,M?Ll`[`e?@dlYOfS_
1,1,M?N[KKokb?SKCmiJ_
2,1,MaDCC~?NA_oPIEj^?
3,1,M``QA?FnBSPc@JHt_
4,1,MoDGGoEAFk[_zCki?
5,1,MooO@_Dx`hTeAGdt_
6,1,MGEwOoQ?JwXadYHU?
7,1,M_E_F\_x?XWHUdRN?
8,1,M_K_D|Oy@KKahSoj_
9,1,Mb_OB?FmawISoBHt_
10,1,M_B_Dkw{QoQ@UXSh?
11,1,M_B_D|_x?XWHUdRN?
12,1,M@eOH_Fyb_eK_VPj?
13,1,MAMPOoB?^wJEGiGz?
14,1,MEH@UX@Cc@}BQ`BF_
15,1,MaaBAOF?nwW@EJSn?
16,1,MCkBQOF?ng[@IClN?
17,1,MOaoD_BzAiWIcVRM?
18,1,MGpPAq@?M{XcQATt_
19,1,MGpPGoB?MuR`UTTH?
20,1,MPcEQQ@gCA}C@atN_
21,1,MPIGsCE_e@_^R_se?
22,1,MaKOCoB?^wRCiYgj?
23,1,Mi_GcY@?DA}@QbRN_
24,0,MCogJKHOY?_VqeRS?
25,1,MeGPGB_oe?hBIopv_
26,1,Mk?s?`DGf_]@aQtN_
27,1,MCLX?i@CSG~DAPsJ_
28,0,MGXOiCD_MC`MzQOw?
29,1,MOXGgcE_eC_mzaOq?
30,1,M?NC`qDoE?{ArJDP_
31,1,M@eOH_bTVSwK_PZi?
32,1,MEWDSOF?nOYCDTRN?
33,1,MEKOgoB?^SYEHHov?
34,1,MES?uY@GKC}@JPBF_
35,1,MEWF_OF?moQ@UdRN?
36,1,M@B_dmSuaQB@Ugse_
37,1,M?U_N]@sGoqPeWlE?
38,1,MAK`HvOuAU@DIGov_
39,1,M?R_L|_x?kS`UgcH_
40,1,MKCqBDSi`@gYXfeE_
41,1,MKK@`vOq?USSHCsv_
42,1,M?s`JDTiiD_~B@AE?
43,1,M@Q``kssiBB?[mke?
44,1,MP__N?L}AXIeCOZ[_
45,1,MJGCRWD@EQ[DagSn_
46,1,MIGsP@ECVoYB_PSn_
47,1,MGhPQ?L?nwEu`_`D_
48,1,MJG?V?\{@pIIOKq{_
49,1,Mo@_J?d{`LLLQOjK_
50,1,MOchHQ@?Mu]D?apV_
51,1,MoWHGCg`D@leIWCv_
52,1,MCQaL[@oGA@FZclE?
53,1,MGJOSoB?VXYe_tRC?
54,1,M@S_w~?oXEIQb?Hv_
55,1,MOp@E_h}AhQ_qHBd_
56,1,M?XgDrC?rU]CPEOw_
57,1,M?rCKaT}AKDTQOOl_
58,1,Moo?`_dx`hTe?Gdt_
59,1,MAJPC_JkqqEceEHy_
60,1,MOhAQoI?nsSdP`JF_
61,1,MQKT@?IETB]CQQKn_
62,1,MY?`T@DOfwWA`QRN_
63,1,MBWGUHB?v`QS_fbF_
64,1,M@YKHDH_jGXEACjN_
65,1,M?fQOq@GMyS_XqKm_
66,1,MPoWIAC@UDlTIH`t_
67,1,MPSYGC_PGbwCoZHt_
68,0,MgKOgB__oEsYfGRF_
69,1,M?rX?gPGVgNCQ@Sn_
70,1,MHQALX@GCc}E?abN_
71,1,MPIGsCD_i@_^R_se?
72,1,M@FGLCddA_cNb?cJ_
73,1,MaKPCQ@gCa}CAQtN_
74,1,MCKqaCcoK@_VpTsg?
75,1,MBB@TWP@Sc}AJ`AF_
76,1,MaS?TX@GSc}DOaRF_
77,1,M?ZH_oL?fWySCihY?
78,1,MqGBOCScWBwE_jIl_
79,1,M@sWHEA@KUycIPal_
80,1,M`PPOEGTObrC?X]d_
81,1,M@coF?UyFaEcCqZK_
82,0,MHISOgD@ZO\D@hHN_
83,1,MFGGeAR?usSPIosf_
84,1,MBWKCcicF_DDOURN_
85,1,MAQoK_J{QpCdog]h_
86,1,M@coMOD?^pVC_MuE_
87,1,MBKPOoH?nqYA@WlJ_
88,1,MEDOR?F|BOHBPcql_
89,1,MBoQCcPigrQAbOAn_
90,1,Mq?a@`D@vpGVORUL_
91,1,MR?`aoH?nwTC@RRJ_
92,1,M?Lgaob?VqZBGotC?
93,1,Mi?b?_j@LuYC`PrE_
94,1,Mb?aA`JmbWAcCfRJ_
95,1,McPS@H@?}_]BpCsu_
96,1,M?MgRPB?NkUeGcuC?
97,1,MA`sAgH^@SIRQ`BF_
